,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs)
63,Renault KWID Climber 1.0 AMT,2020-12-01,Third Party insurance,Petrol,5,12503,First Owner,Automatic,22.0,999.0,67.0,5.15
64,Jeep Compass 1.4 Sport,2021-06-01,Comprehensive,Petrol,5,10000,First Owner,Manual,14.3,1368.0,16077.0,15.95
65,Maruti Swift 1.2 VXi,2011-05-01,Comprehensive,Petrol,5,73717,Second Owner,Manual,16.1,1197.0,85.0,2.41
66,Honda Jazz V,2017-10-01,Comprehensive,Petrol,5,17000,First Owner,Automatic,17.1,1199.0,8850.0,5.95
67,Hyundai Grand i10 AT,2014-11-01,Comprehensive,Petrol,5,36047,First Owner,Automatic,18.9,1197.0,82.0,4.32
68,Maruti Wagon R CNG,2018-02-01,Comprehensive,CNG,5,45000,First Owner,Manual,998.0,5833.0,78.0,4.45
69,Hyundai i10,2016-07-01,Comprehensive,Petrol,5,50000,Second Owner,Manual,20.36,1197.0,789.0,3.45
70,Maruti Swift,2018-08-01,Comprehensive,Petrol,5,51000,First Owner,Manual,22.0,1197.0,8180.0,5.5
71,Mahindra XUV500,2018-07-01,Third Party,Diesel,7,62000,Second Owner,Manual,2179.0,15287.0,360.0,8.5
72,Honda City ZX,2023-03-01,Comprehensive,Petrol,5,10280,First Owner,Automatic,18.4,1498.0,11935.0,16.0
73,Maruti Baleno 1.2,2015-11-01,Comprehensive,Petrol,5,17282,First Owner,Manual,21.4,1197.0,831.0,5.45
74,Honda CR-V 2.0,2019-08-01,Third Party insurance,Petrol,5,30500,First Owner,Automatic,14.4,1997.0,15189.0,22.95
75,Kia Seltos HTX Plus,2020-09-01,Comprehensive,Diesel,5,60755,First Owner,Manual,20.8,1493.0,11343.0,13.51
76,Mercedes-Benz C-Class Progressive C,2021-07-01,Comprehensive,Petrol,5,25000,Second Owner,Automatic,11.9,1950.0,20115.0,40.75
